Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBath,HouseAge,YearsSinceRemodel,Has2ndFloor,HasGarage,HasBasement,TotalPorchSF,QualitySize,QualityTotalSF,ExterQual_Encoded,ExterQualSize,KitchenQual_Encoded,TotalQualityScore,LiveableSF,TotalShelterSF,QualityAgeInteraction,BathBedroomRatio,GrLivArea_Squared,GrLivArea_Cubed,TotalSF_Squared,TotalSF_Cubed,LotArea_Squared,TotalBsmtSF_Squared,OverallQual_Squared,HouseAge_Squared,GrLivArea_Sqrt,LotArea_Sqrt,LivingAreaRatio,BasementRatio,GarageRatio,BathPerBedroom,RoomDensity,PorchRatio,LotShapeIndex,QualityPerSF,AgeBracket,QualityTier,SizeCategory,LotCategory,SaleSeason,IsRemodeled,MarketPeriod,HasPool,HasFireplace,HasCentralAir,GarageSize,LotShapeQuality,HouseType,BsmtQual_Encoded,HeatingQC_Encoded,TotalUsableSF,HasPoolFlag,HasGarageFlag,TotalAmenities,TotalUsableSF_Norm,TotalQualityScore_Norm,TotalAmenities_Norm,PropertyValueIndex
1,60,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,,,,0,2,2008,WD,Normal,208500,2566,3.5,5,5,1,1,1,61,11970,17962,4,6840,4,4.8,2566,3114,1.1666666666666667,0.875,2924100,5000211000,6584356,16895457496,71402500,732736,49,25,41.352146256270665,91.92388155425118,0.20234291799787008,0.333463186599143,0.21347876899104012,0.875,0.004675628287551139,0.03565166569257744,0.6994972542343859,2.5830258302583027,New (0-5yr),Good,Large,Medium,Winter,0,Post-2008,0,0,1,2-Car,4,2-Story,4.0,5,3114,0,1,1,0.21657837332502336,0.7176470588235294,0.2,0.3780751440495176
2,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,,,,0,5,2007,WD,Normal,181500,2524,2.5,31,31,0,1,1,298,7572,15144,3,3786,3,4.2,2524,2984,0.1875,0.625,1592644,2009916728,6370576,16079333824,92160000,1592644,36,961,35.52463933666322,97.97958971132712,0.1314446411832101,0.4998019801980198,0.18217821782178217,0.625,0.004750593824228029,0.23594615993665874,0.8082474400360631,2.6525198938992043,Mature (25-50yr),Good,Medium,Medium,Spring,0,Pre-2008,0,1,1,2-Car,4,1-Story,4.0,5,2984,0,1,2,0.20645060766593953,0.5764705882352942,0.4,0.39430706530041126
3,60,RL,68.0,11250,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,,,,0,9,2008,WD,Normal,223500,2706,3.5,7,6,1,1,1,42,12502,18942,4,7144,4,4.8,2706,3314,0.875,0.875,3189796,5696975656,7322436,19814511816,126562500,846400,49,49,42.261093218230876,106.06601717798213,0.15874144520487068,0.3398596231991134,0.2246028814185445,0.875,0.003357582540570789,0.023503077783995522,0.6351221591343927,2.5125628140703515,Recent (5-10yr),Good,XLarge,Medium,Fall,1,Post-2008,0,1,1,2-Car,3,2-Story,4.0,5,3314,0,1,2,0.2321595512620754,0.7176470588235294,0.4,0.4499355366952016
4,70,RL,60.0,9550,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,,,,0,2,2006,WD,Abnorml,140000,2473,2.0,91,36,1,1,1,307,12019,17311,3,5151,4,4.2,2473,3115,0.07608695652173914,0.5,2948089,5061868813,6115729,15124197817,91202500,571536,49,8281,41.43669871020132,97.72410142846032,0.179771751649042,0.3055780113177041,0.25949878738884397,0.5,0.004074505238649592,0.17869615832363214,0.607754328799625,2.576370997423629,Old (50-100yr),Good,Large,Medium,Winter,1,Pre-2008,0,1,1,3+ Car,3,2-Story,3.0,4,3115,0,1,2,0.21665627921470862,0.5764705882352942,0.4,0.3977089558166676
5,60,RL,84.0,14260,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,,,,0,12,2008,WD,Normal,250000,3343,3.5,8,8,1,1,1,276,17584,26744,4,8792,4,5.0,3343,4179,0.8888888888888888,0.7,4831204,10618986392,11175649,37360194607,203347600,1311025,64,64,46.88283267892417,119.41524190822544,0.1541266390856181,0.3424043062200957,0.25,0.7,0.004092769440654843,0.12551159618008187,0.6975861084431542,2.5015634771732334,Recent (5-10yr),Excellent,XLarge,Large,Winter,0,Post-2008,0,1,1,3+ Car,3,2-Story,4.0,5,4179,0,1,2,0.2995481458398255,0.7647058823529411,0.4,0.4880846760642556
6,50,RL,85.0,14115,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,WD,Normal,143000,2158,2.5,16,14,1,1,1,390,6810,10790,3,4086,3,4.0,2158,2638,0.29411764705882354,1.25,1855044,2526569928,4656964,10049728312,199233225,633616,25,256,36.90528417449187,118.80656547514535,0.09648625672995183,0.3686892079666512,0.222325150532654,1.25,0.003668378576669112,0.28613352898019073,0.7094769778508825,2.1168501270110074,Modern (10-25yr),Average,Medium,Large,Fall,1,Post-2008,0,0,1,2-Car,3,1.5-Story,4.0,5,2638,0,1,1,0.1794951698348395,0.5294117647058824,0.2,0.30296897818024066
7,20,RL,75.0,10084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,,,,0,8,2007,WD,Normal,307000,3380,3.0,3,2,0,1,1,312,13552,27040,4,6776,4,5.2,3380,4016,2.0,0.75,2869636,4861163384,11424400,38614472000,101687056,2842596,64,9,41.15823125451335,100.41912168506553,0.16797223599405056,0.4986690328305235,0.1881100266193434,0.75,0.004129793510324484,0.184070796460177,0.7395055168481519,2.9695619896065333,New (0-5yr),Excellent,Large,Medium,Summer,1,Pre-2008,0,1,1,2-Car,4,1-Story,5.0,5,4016,0,1,2,0.28684948582112807,0.8117647058823529,0.4,0.49953806390116035
8,60,RL,69.0,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,,,Shed,350,11,2009,WD,Normal,200000,3197,3.5,36,36,1,1,1,667,14630,22379,3,6270,3,4.4,3197,3681,0.1891891891891892,0.875,4368100,9129329000,10220809,32675926373,107785924,1225449,49,1296,45.71651780264984,101.89209979188769,0.20129057112587884,0.34615384615384615,0.15134459036898062,0.875,0.003347680535628886,0.31898613103778095,0.6706054219863453,2.26537216828479,Mature (25-50yr),Good,XLarge,Medium,Fall,0,Post-2008,0,1,1,2-Car,3,2-Story,4.0,5,3681,0,1,3,0.2607510127765659,0.623529411764706,0.6,0.4947601415137573
9,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,,,,0,4,2008,WD,Abnorml,129900,2726,2.0,77,58,1,1,1,295,12418,19082,3,5322,3,4.0,2726,3194,0.08974358974358974,0.6666666666666666,3147076,5582912824,7431076,20257113176,37454400,906304,49,5929,42.118879377305376,78.23042886243178,0.2898219245221369,0.3491015768243491,0.1716171617161716,0.6666666666666666,0.004507042253521127,0.16619718309859155,0.6436920856322963,2.523431867339582,Old (50-100yr),Good,Large,Small,Spring,1,Post-2008,0,1,1,2-Car,4,1.5-Story,3.0,4,3194,0,1,3,0.2228108444998442,0.5294117647058824,0.6,0.4507408697352422
10,190,RL,50.0,7420,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,,,,0,1,2008,WD,Normal,118000,2068,2.0,69,58,0,1,1,4,5385,10340,3,3231,3,3.8,2068,2273,0.07142857142857142,0.6666666666666666,1159929,1249243533,4276624,8844058432,55056400,982081,25,4761,32.817678162843876,86.13942186943211,0.14512868885594934,0.4789753504108265,0.09908168197196714,0.6666666666666666,0.00463821892393321,0.0037105751391465678,0.5737931113993269,2.407318247472316,Old (50-100yr),Average,Small,Small,Winter,1,Post-2008,0,1,1,1-Car,4,1.5-Story,3.0,5,2273,0,1,3,0.15105952009971954,0.48235294117647054,0.6,0.4111374870920634
